,KODE_KEC,KODE_KK,KODE_PROV,KECAMATAN,KAB_KOTA,PROVINSI,FID
151,32.18.01,32.18,32,Parigi,Pangandaran,Jawa Barat,32.18.01
152,32.18.02,32.18,32,Cijulang,Pangandaran,Jawa Barat,32.18.02
153,32.18.05,32.18,32,Langkaplancar,Pangandaran,Jawa Barat,32.18.05
154,32.18.06,32.18,32,Mangunjaya,Pangandaran,Jawa Barat,32.18.06
155,32.18.03,32.18,32,Cimerak,Pangandaran,Jawa Barat,32.18.03
156,32.18.04,32.18,32,Cigugur,Pangandaran,Jawa Barat,32.18.04
157,91.22.01,91.22,91,Elelim,Yalimo,Papua Pegunungan,91.22.01
158,91.22.02,91.22,91,Apalapsili,Yalimo,Papua Pegunungan,91.22.02
159,73.14.11,73.14,73,Pitu Riase,Sidenreng Rappang,Sulawesi Selatan,73.14.11
160,91.22.05,91.22,91,Welarek,Yalimo,Papua Pegunungan,91.22.05
161,73.14.10,73.14,73,Pitu Riawa,Sidenreng Rappang,Sulawesi Selatan,73.14.10
162,13.06.05,13.06,13,Iv Koto,Agam,Sumatera Barat,13.06.05
163,91.22.03,91.22,91,Abenaho,Yalimo,Papua Pegunungan,91.22.03
164,13.06.06,13.06,13,Banuhampu,Agam,Sumatera Barat,13.06.06
165,91.22.04,91.22,91,Benawa,Yalimo,Papua Pegunungan,91.22.04
166,13.06.03,13.06,13,Tanjung Raya,Agam,Sumatera Barat,13.06.03
167,13.06.04,13.06,13,Matur,Agam,Sumatera Barat,13.06.04
168,13.06.09,13.06,13,Tilatang Kamang,Agam,Sumatera Barat,13.06.09
169,13.06.07,13.06,13,Ampek Angkek,Agam,Sumatera Barat,13.06.07
170,13.06.08,13.06,13,Baso,Agam,Sumatera Barat,13.06.08
171,13.06.01,13.06,13,Tanjung Mutiara,Agam,Sumatera Barat,13.06.01
172,13.06.02,13.06,13,Lubuk Basung,Agam,Sumatera Barat,13.06.02
173,32.05.07,32.05,32,Samarang,Garut,Jawa Barat,32.05.07
174,32.05.08,32.05,32,Pasirwangi,Garut,Jawa Barat,32.05.08
175,32.05.05,32.05,32,Tarogong Kidul,Garut,Jawa Barat,32.05.05
176,32.05.06,32.05,32,Banyuresmi,Garut,Jawa Barat,32.05.06
177,32.18.10,32.18,32,Sidamulih,Pangandaran,Jawa Barat,32.18.10
178,32.05.09,32.05,32,Leles,Garut,Jawa Barat,32.05.09
179,32.05.03,32.05,32,Wanaraja,Garut,Jawa Barat,32.05.03
180,32.05.04,32.05,32,Tarogong Kaler,Garut,Jawa Barat,32.05.04
181,32.05.01,32.05,32,Garut Kota,Garut,Jawa Barat,32.05.01
182,32.05.02,32.05,32,Karangpawitan,Garut,Jawa Barat,32.05.02
183,13.06.16,13.06,13,Malalak,Agam,Sumatera Barat,13.06.16
184,13.06.14,13.06,13,Candung,Agam,Sumatera Barat,13.06.14
185,13.06.15,13.06,13,Kamang Magek,Agam,Sumatera Barat,13.06.15
186,18.02.01,18.02,18,Kalirejo,Lampung Tengah,Lampung,18.02.01
187,13.06.12,13.06,13,Sungai Pua,Agam,Sumatera Barat,13.06.12
188,13.06.13,13.06,13,Ampek Nagari,Agam,Sumatera Barat,13.06.13
189,13.06.10,13.06,13,Palupuh,Agam,Sumatera Barat,13.06.10
190,13.06.11,13.06,13,Palembayan,Agam,Sumatera Barat,13.06.11
191,32.12.25,32.12,32,Gantar,Indramayu,Jawa Barat,32.12.25
192,32.12.26,32.12,32,Terisi,Indramayu,Jawa Barat,32.12.26
193,32.12.23,32.12,32,Anjatan,Indramayu,Jawa Barat,32.12.23
194,32.12.24,32.12,32,Sukra,Indramayu,Jawa Barat,32.12.24
195,32.12.29,32.12,32,Pasekan,Indramayu,Jawa Barat,32.12.29
196,32.12.27,32.12,32,Sukagumiwang,Indramayu,Jawa Barat,32.12.27
197,32.12.28,32.12,32,Kedokan Bunder,Indramayu,Jawa Barat,32.12.28
198,18.02.04,18.02,18,Gunung Sugih,Lampung Tengah,Lampung,18.02.04
199,18.02.05,18.02,18,Trimurjo,Lampung Tengah,Lampung,18.02.05
200,18.02.02,18.02,18,Bangun Rejo,Lampung Tengah,Lampung,18.02.02
201,52.01.03,52.01,52,Narmada,Lombok Barat,Nusa Tenggara Barat,52.01.03
202,18.02.03,18.02,18,Padang Ratu,Lampung Tengah,Lampung,18.02.03
203,32.12.21,32.12,32,Kandanghaur,Indramayu,Jawa Barat,32.12.21
204,18.02.08,18.02,18,Seputih Raman,Lampung Tengah,Lampung,18.02.08
205,52.01.09,52.01,52,Gunungsari,Lombok Barat,Nusa Tenggara Barat,52.01.09
206,32.12.22,32.12,32,Bongas,Indramayu,Jawa Barat,32.12.22
207,18.02.09,18.02,18,Rumbia,Lampung Tengah,Lampung,18.02.09
208,18.02.06,18.02,18,Punggur,Lampung Tengah,Lampung,18.02.06
209,52.01.07,52.01,52,Sekotong,Lombok Barat,Nusa Tenggara Barat,52.01.07
210,32.12.20,32.12,32,Losarang,Indramayu,Jawa Barat,32.12.20
211,18.02.07,18.02,18,Terbanggi Besar,Lampung Tengah,Lampung,18.02.07
212,52.01.08,52.01,52,Labuapi,Lombok Barat,Nusa Tenggara Barat,52.01.08
213,18.02.11,18.02,18,Seputih Mataram,Lampung Tengah,Lampung,18.02.11
214,52.01.01,52.01,52,Gerung,Lombok Barat,Nusa Tenggara Barat,52.01.01
215,18.02.12,18.02,18,Seputih Surabaya,Lampung Tengah,Lampung,18.02.12
216,52.01.02,52.01,52,Kediri,Lombok Barat,Nusa Tenggara Barat,52.01.02
217,18.02.10,18.02,18,Seputih Banyak,Lampung Tengah,Lampung,18.02.10
218,13.12.01,13.12,13,Sungai Beremas,Pasaman Barat,Sumatera Barat,13.12.01
